time,G
0.01,9428660.067667508
0.02,8786039.31828928
0.03,8189857.017272587
0.04,7636756.320410542
0.05,7123623.041698912
0.06,6647568.226593811
0.07,6205912.19784627
0.08,5796168.293295024
0.09,5416030.203858613
0.1,5063358.131935485
0.11,4736166.947248636
0.12,4432615.208261501
0.13,4150994.3074908596
0.14,3889719.4232481355
0.15,3647320.2496053665
0.16,3422432.6540832967
0.17,3213791.2620845293
0.18,3020221.8807665003
0.19,2840635.6371023986
0.2,2674021.9329001447
0.21,2519443.4547548126
0.22,2376030.855174396
0.23,2242976.973112664
0.24,2119533.4107581554
0.25,2005006.1269253206
0.26,1898750.3739929218
0.27,1800169.1253080193
0.28,1708707.598040103
0.29,1623851.6090651974
0.3,1545123.7752902803
0.31,1472081.4112344407
0.32,1404313.9357247872
0.33,1341440.1558665398
0.34,1283106.6470073098
0.35000000000000003,1228985.5726902643
0.36,1178772.473480427
0.37,1132185.1522045578
0.38,1088961.638872059
0.39,1048858.9456741088
0.4,1011651.8237222376
0.41000000000000003,977131.0224533513
0.42,945102.5854263057
0.43,915386.498083759
0.44,887815.9569911803
0.45,862235.5268064061
0.46,838501.8999565769
0.47000000000000003,816481.5489731428
0.48,796050.9370569494
0.49,777094.9146259552
0.5,759507.3974982292
0.51,743189.2892268035
0.52,728049.1261142207
0.53,714001.6556151176
0.54,700968.0953458055
0.55,688875.3209662944
0.56,677655.289516216
0.5700000000000001,667244.9828779793
0.58,657586.0105545556
0.59,648624.0446656123
0.6,640308.8818681182
0.61,632593.7442811023
0.62,625435.3751984956
0.63,618793.5162173463
0.64,612630.8957529133
0.65,606913.0830895258
0.66,601607.7166304957
0.67,596685.1089585987
0.68,592117.8296229088
0.6900000000000001,587879.905248519
0.7000000000000001,583947.8420596707
0.71,580299.4431830694
0.72,576914.1856440366
0.73,573773.2186504763
0.74,570858.6685607608
0.75,568154.5535639947
0.76,565645.3656579097
0.77,563317.2100586572
0.78,561157.0056246093
0.79,559152.609955779
0.8,557292.7866752101
0.81,555567.0201672886
0.8200000000000001,553965.8760015497
0.8300000000000001,552480.0850463232
0.84,551101.36241447
0.85,549822.3074679434
0.86,548635.3656482816
0.87,547533.9567886661
0.88,546511.9305290289
0.89,545563.6134103802
0.9,544683.8173269449
0.91,543867.280397588
0.92,543109.7598759218
0.93,542406.723757481
0.9400000000000001,541754.4536703461
0.9500000000000001,541149.1358186061
0.96,540587.4966549634
0.97,540066.2885373272
0.98,539582.7675857722
0.99,539133.9293977083
1.0,538717.5287266369
1.01,538331.1968541471
1.02,537972.4738084958
1.03,537639.752652995
1.04,537331.1130081947
1.05,537044.4989192511
1.06,536778.7884633844
1.07,536531.9566723052
1.08,536302.9974614567
1.09,536090.6785241495
1.1,535893.5050785331
1.11,535710.5710613626
1.12,535540.7439572853
1.1300000000000001,535383.1011164109
1.1400000000000001,535237.0284623936
1.1500000000000001,535101.2338631961
1.16,534975.3684482554
1.17,534858.519460013
1.18,534750.0175506669
1.19,534649.4124700328
1.2,534556.025141222
1.21,534469.3140122978
1.22,534388.7910030249
1.23,534314.1969324739
1.24,534244.9526948732
1.25,534180.5374135426
1.26,534120.8728353808
1.27,534065.456022815
1.28,534014.1478900207
1.29,533966.3600490482
1.3,533922.0450306477
1.31,533880.8646408131
1.32,533842.7596759236
1.33,533807.267031674
1.34,533774.4115200307
1.35,533743.8453710796
1.36,533715.5663804635
1.37,533689.247295164
1.3800000000000001,533664.7781819546
1.3900000000000001,533642.1270089493
1.4000000000000001,533620.9936865859
1.41,533601.4205436094
1.42,533583.3610182935
1.43,533566.4878555367
1.44,533550.8548855581
1.45,533536.4023800461
